Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
3008,251.744823,-1.891883,251.744825,-1.891891,1286,1127,1285.961,1126.855,1,+4336.77,1.0000,+67.2923,D.N.,-9.0929,+0.0168,0,B,9.300818,8.733445,9.325923,8.831766,9.440432,0.000000,1.467352,1.396075,5,5,5,0,8,15,79.04,0,511,3.00,/Users/spicyboiii/Desktop/M12_V.fits
3009,251.732179,-1.891938,251.732160,-1.891935,1514,1126,1514.339,1126.052,1,+1000.07,1.0000,+35.2518,D.N.,-7.5001,+0.0383,0,B,8.583958,8.956330,8.699669,8.265862,8.836710,0.000000,1.551742,1.571505,5,5,5,0,8,15,79.04,0,511,3.28,/Users/spicyboiii/Desktop/M12_V.fits
3010,251.801886,-1.891938,251.801874,-1.891912,257,1126,257.221,1126.470,1,+545.514,1.0000,+44.0992,D.N.,-6.8420,+0.0878,0,B,10.419075,9.867893,14.158127,9.199189,19.031517,0.000000,12.730631,3.767312,5,5,5,0,8,15,79.04,0,502,2.85,/Users/spicyboiii/Desktop/M12_V.fits
3011,251.801276,-1.891827,251.801285,-1.891799,268,1128,267.844,1128.505,1,+4066.31,1.0000,+68.3930,D.N.,-9.0230,+0.0183,0,B,10.608540,9.993738,11.528614,9.226099,12.228648,0.000000,4.082189,2.488604,5,5,5,0,8,15,79.04,0,499,3.31,/Users/spicyboiii/Desktop/M12_V.fits
3012,251.796895,-1.891772,251.796904,-1.891784,347,1129,346.837,1128.767,1,+2152.39,1.0000,+49.4395,D.N.,-8.3323,+0.0249,0,B,10.058867,10.206950,10.105190,9.548088,10.283387,0.000000,1.907980,1.721621,5,5,5,0,8,15,79.04,0,505,3.32,/Users/spicyboiii/Desktop/M12_V.fits
3013,251.779094,-1.891495,251.779106,-1.891464,668,1134,667.793,1134.557,1,+46913.7,1.0000,+219.331,D.N.,-11.6782,+0.0051,0,B,12.247816,10.788694,12.978092,8.941532,13.472803,0.000000,3.620962,3.481501,5,5,5,0,8,15,79.04,0,508,3.36,/Users/spicyboiii/Desktop/M12_V.fits
3014,251.747373,-1.891883,251.747350,-1.891891,1240,1127,1240.422,1126.853,1,+534.865,1.0000,+27.6728,D.N.,-6.8206,+0.0562,0,B,8.908314,9.305179,8.880331,8.628555,9.003619,0.000000,1.486329,1.534281,5,5,5,0,8,15,79.04,0,515,3.53,/Users/spicyboiii/Desktop/M12_V.fits
3015,251.773493,-1.891883,251.773498,-1.891857,769,1127,768.914,1127.471,1,+441.473,1.0000,+27.7053,D.N.,-6.6123,+0.0681,0,B,9.384564,9.197241,9.763678,9.043257,10.094513,0.000000,2.565698,1.820165,5,5,5,0,8,15,79.04,0,506,3.47,/Users/spicyboiii/Desktop/M12_V.fits
3016,251.769500,-1.891661,251.769507,-1.891623,841,1131,840.871,1131.691,1,+610.649,1.0000,+121.672,D.N.,-6.9645,+0.2163,0,B,10.740849,9.167795,26.931704,8.688682,51.371371,0.000000,43.789419,12.000967,5,5,5,0,8,15,79.04,0,503,3.43,/Users/spicyboiii/Desktop/M12_V.fits
3017,251.768946,-1.891273,251.768965,-1.891244,851,1138,850.655,1138.519,1,+12295.0,1.0000,+120.140,D.N.,-10.2243,+0.0106,0,B,11.159921,9.036663,14.280605,8.638483,17.406255,0.000000,9.961914,4.657399,5,5,5,0,8,15,79.04,0,502,3.28,/Users/spicyboiii/Desktop/M12_V.fits
3018,251.787024,-1.891605,251.787014,-1.891576,525,1132,525.179,1132.531,1,+1767.09,1.0000,+48.3183,D.N.,-8.1181,+0.0297,0,B,11.837422,10.866652,12.074728,10.028544,12.333304,0.000000,2.514716,2.401710,5,5,5,0,8,15,79.04,0,507,3.70,/Users/spicyboiii/Desktop/M12_V.fits
3019,251.811757,-1.891549,251.811785,-1.891545,79,1133,78.497,1133.084,1,+1160.72,1.0000,+37.5706,D.N.,-7.6618,+0.0351,0,B,9.546376,9.159497,9.496132,9.652965,9.623643,0.000000,1.562932,1.597858,5,5,5,0,8,15,79.04,0,511,3.69,/Users/spicyboiii/Desktop/M12_V.fits
3020,251.806988,-1.891494,251.807017,-1.891440,165,1134,164.475,1134.981,1,+2092.22,1.0000,+155.830,D.N.,-8.3015,+0.0809,0,B,12.451086,9.957603,56.850745,9.210845,162.586169,0.000000,152.475111,14.999821,5,5,5,0,8,15,79.04,0,501,2.65,/Users/spicyboiii/Desktop/M12_V.fits
3021,251.769667,-1.891550,251.769509,-1.891623,838,1133,840.850,1131.687,1,+610.649,1.0000,+121.672,D.N.,-6.9645,+0.2163,0,B,10.740849,9.167795,26.931704,8.680106,51.371371,0.000000,43.789419,12.000967,5,5,5,0,8,15,79.04,0,503,4.33,/Users/spicyboiii/Desktop/M12_V.fits
3022,251.735783,-1.891495,251.735790,-1.891446,1449,1134,1448.886,1134.882,1,+754.153,1.0000,+31.7452,D.N.,-7.1936,+0.0457,0,B,8.644469,8.549768,8.634243,8.282707,8.773893,0.000000,1.560704,1.607284,5,5,5,0,8,15,79.04,0,513,3.67,/Users/spicyboiii/Desktop/M12_V.fits
3023,251.807487,-1.890995,251.807476,-1.891002,156,1143,156.208,1142.874,1,+54631.1,1.0000,+239.248,D.N.,-11.8436,+0.0048,0,B,14.204260,11.833196,16.179429,9.185183,17.509141,0.000000,6.699677,5.142777,5,5,5,0,8,15,79.04,0,501,3.17,/Users/spicyboiii/Desktop/M12_V.fits
3024,251.793513,-1.891439,251.793505,-1.891423,408,1135,408.137,1135.294,1,+597.906,1.0000,+29.7153,D.N.,-6.9416,+0.0540,0,B,9.848484,9.631847,9.849104,9.772927,9.995787,0.000000,1.707802,1.704469,5,5,5,0,8,15,79.04,0,514,3.35,/Users/spicyboiii/Desktop/M12_V.fits
3025,251.767781,-1.891384,251.767772,-1.891380,872,1136,872.165,1136.079,1,+786.149,1.0000,+31.7173,D.N.,-7.2388,+0.0438,0,B,9.135031,10.167066,9.121196,8.629286,9.264310,0.000000,1.623693,1.495894,5,5,5,0,8,15,79.04,0,511,3.37,/Users/spicyboiii/Desktop/M12_V.fits
3026,251.756801,-1.891273,251.756799,-1.891236,1070,1138,1070.028,1138.667,1,+2243.09,1.0000,+49.7855,D.N.,-8.3771,+0.0241,0,B,8.922698,8.482146,8.936292,8.726521,9.062330,0.000000,1.507631,1.548576,5,5,5,0,8,15,79.04,0,512,3.76,/Users/spicyboiii/Desktop/M12_V.fits
3027,251.708721,-1.891328,251.708691,-1.891344,1937,1137,1937.545,1136.701,1,+513.442,1.0000,+27.4955,D.N.,-6.7762,+0.0581,0,B,8.461885,8.402508,8.431221,8.171179,8.566682,0.000000,1.518896,1.572478,5,5,5,0,8,15,79.04,0,515,3.10,/Users/spicyboiii/Desktop/M12_V.fits
3028,251.814697,-1.891328,251.814662,-1.891324,26,1137,26.626,1137.074,1,+781.977,1.0000,+36.7861,D.N.,-7.2330,+0.0511,0,B,10.584285,9.679858,11.584389,9.603192,12.377170,0.000000,4.362845,2.405683,5,5,5,0,8,15,79.04,0,499,0.28,/Users/spicyboiii/Desktop/M12_V.fits
