Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2820,251.777097,-1.897647,251.777101,-1.897627,704,1023,703.919,1023.362,1,+100.544,1.0000,+17.5328,D.N.,-5.0059,+0.1893,0,B,5.150980,4.800082,5.203951,5.891041,5.400334,0.000000,1.444492,1.451866,5,5,5,0,8,15,79.04,0,514,3.31,C:\Users\lrf44\Desktop\M12_B.fits
2821,251.742882,-1.897702,251.742866,-1.897688,1321,1022,1321.304,1022.264,1,+57.8214,1.0000,+16.6452,D.N.,-4.4052,+0.3125,0,B,5.265559,5.255599,5.291058,4.845617,5.507239,0.000000,1.529363,1.494138,5,5,5,0,8,15,79.04,0,512,2.51,C:\Users\lrf44\Desktop\M12_B.fits
2822,251.781478,-1.897536,251.781462,-1.897516,625,1025,625.282,1025.370,1,+550.121,1.0000,+27.5039,D.N.,-6.8511,+0.0543,0,B,5.359330,5.903931,5.445696,5.804724,5.625379,0.000000,1.411795,1.449801,5,5,5,0,8,15,79.04,0,513,1.06,C:\Users\lrf44\Desktop\M12_B.fits
2823,251.754638,-1.897536,251.754603,-1.897520,1109,1025,1109.644,1025.299,1,+537.339,1.0000,+26.7241,D.N.,-6.8256,+0.0540,0,B,5.036280,4.819744,5.012601,4.833445,5.183220,0.000000,1.320224,1.342397,5,5,5,0,8,15,79.04,0,514,4.18,C:\Users\lrf44\Desktop\M12_B.fits
2824,251.778483,-1.897536,251.778446,-1.897538,679,1025,679.677,1024.964,1,+165.345,1.0000,+18.5369,D.N.,-5.5460,+0.1217,0,B,5.536601,5.696507,5.516262,5.822390,5.705127,0.000000,1.457205,1.348080,5,5,5,0,8,15,79.04,0,515,3.07,C:\Users\lrf44\Desktop\M12_B.fits
2825,251.772938,-1.897314,251.772947,-1.897280,779,1029,778.840,1029.628,1,+758.215,1.0000,+30.7375,D.N.,-7.1995,+0.0440,0,B,5.488563,4.886911,5.467473,5.864185,5.650320,0.000000,1.427181,1.377825,5,5,5,0,8,15,79.04,0,510,4.56,C:\Users\lrf44\Desktop\M12_B.fits
2826,251.796616,-1.897369,251.796586,-1.897356,352,1028,352.548,1028.251,1,+566.796,1.0000,+27.8316,D.N.,-6.8836,+0.0533,0,B,5.916897,6.098767,6.029528,5.864104,6.260114,0.000000,1.685068,1.452389,5,5,5,0,8,15,79.04,0,504,4.05,C:\Users\lrf44\Desktop\M12_B.fits
2827,251.767448,-1.897314,251.767439,-1.897265,878,1029,878.168,1029.900,1,+584.477,1.0000,+29.1853,D.N.,-6.9169,+0.0542,0,B,5.615647,5.812025,5.914851,5.755052,6.331365,0.000000,2.260740,1.645948,5,5,5,0,8,15,79.04,0,500,1.18,C:\Users\lrf44\Desktop\M12_B.fits
2828,251.810757,-1.897369,251.810771,-1.897127,97,1028,96.739,1032.362,1,+664.683,1.0000,+31.3529,D.N.,-7.0565,+0.0512,0,B,6.221834,5.666528,6.320264,5.841092,6.647984,0.000000,2.063614,1.795454,5,5,5,0,8,15,79.04,0,498,2.27,C:\Users\lrf44\Desktop\M12_B.fits
2829,251.810812,-1.897147,251.810773,-1.897127,96,1032,96.704,1032.365,1,+664.570,1.0000,+31.3511,D.N.,-7.0564,+0.0512,0,B,6.221834,5.666528,6.320264,5.805212,6.647984,0.000000,2.063614,1.795454,5,5,5,0,8,15,79.04,0,498,1.04,C:\Users\lrf44\Desktop\M12_B.fits
2830,251.804768,-1.897258,251.804752,-1.897264,205,1030,205.279,1029.892,1,+525.699,1.0000,+26.7572,D.N.,-6.8018,+0.0553,0,B,5.482381,4.889406,5.488963,5.673346,5.656681,0.000000,1.368572,1.391588,5,5,5,0,8,15,79.04,0,511,4.05,C:\Users\lrf44\Desktop\M12_B.fits
2831,251.806265,-1.897258,251.806229,-1.897266,178,1030,178.639,1029.870,1,+569.839,1.0000,+28.2617,D.N.,-6.8894,+0.0538,0,B,5.839488,5.663638,5.743535,5.677542,5.965264,0.000000,1.612845,1.526354,5,5,5,0,8,15,79.04,0,511,3.81,C:\Users\lrf44\Desktop\M12_B.fits
