15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
,1865.37,,6778.25,,18.52569017,17.75343205
,877.042,,3442.99,,19.34505166,18.4888866
,877.042,,3440.99,,19.34505166,18.48951748
,1285.6,,4697.58,,18.92983798,18.15154055
,909.617,,3080.18,,19.30545622,18.60978577
,463.843,,1815.59,,20.03667512,19.18368155
,463.843,,1817.89,,20.03667512,19.18230701
,2742.51,,11656.2,,18.10723209,17.16483353
,1.36624,,315.508,,26.36378515,21.08370007
,-0.583909,,315.52,,22,21.08365877
,1458.94,,5742.82,,18.79250906,17.933413
,824.746,,3021.68,,19.4118021,18.63060483
,1435.45,,5518.63,,18.81013247,17.97664781
,189.369,,907.019,,21.00933043,19.93718505
,5241.15,,15791.4,,17.40403617,16.83517442
,1271.11,,4923.17,,18.9421448,18.10061393
,1271.11,,4921.7,,18.9421448,18.10093816
,2523.75,,10216.8,,18.19748681,17.30793878
,1135.99,,4304.88,,19.06416637,18.24632338
,2912.14,,12979.7,,18.04207202,17.04806437
,184.563,,760.051,,21.03724104,20.12911917
,291.203,,1244.35,,20.54211303,19.59386963
,1794.36,,866.298,,18.56782869,19.98705773
,78.5741,,468.083,,21.9644041,20.65541884
,25762.3,,54613.2,,15.67514106,15.48798195
,3114.72,,13787.3,,17.96905511,16.98252794
,1456.06,,5254.81,,18.79465446,18.02983346
,78.6708,,468.083,,21.96306872,20.65541884
,3541.12,,13176.8,,17.82975103,17.03170112
,2922.85,,12979.7,,18.03808632,17.04806437
,2523.75,,10210.1,,18.19748681,17.30865102
,1560.59,,6138.77,,18.71938059,17.8610226
,348.363,,1297.1,,20.34752259,19.54879236
,174.229,,864.178,,21.09980153,19.98971799
,705.182,,2511.41,,19.5818496,18.83143196
,694.763,,2398.26,,19.59801094,18.88148535
,1560.59,,6140.14,,18.71938059,17.86078032
,14282.1,,71464.4,,16.31562247,15.19600163
,273.147,,1002.07,,20.61161155,19.82898086
,826.921,,2956.89,,19.40894259,18.65413809
,1702.97,,6530.15,,18.62458515,17.79391811
,933.165,,3445.36,,19.27770654,18.48813949
,4881.36,,19234.8,,17.48125055,16.62100682
,2372.53,,9824.26,,18.26457336,17.35047639
,2372.53,,9963.39,,18.26457336,17.33520818
,796.545,,2830.56,,19.44957685,18.7015451
,4881.36,,19234.8,,17.48125055,16.62100682
,25608.9,,55565.2,,15.68162533,15.4692188
,112479,,1.16E+06,,14.07492402,12.16607309
,1560.59,,6160.42,,18.71938059,17.8572002
,925.367,,3442.87,,19.28681762,18.48892445
,380.273,,1409.6,,20.25236391,19.45848628
,678.576,,2440.55,,19.6236064,18.86250673
,850.191,,3073.41,,19.37881138,18.61217476
,82.5481,,407.415,,21.91083494,20.80613347
,3279.13,,12550.1,,17.91320605,17.08460804
,1802.63,,7334.69,,18.56283615,17.6677716
,807.98,,2900.14,,19.43410111,18.6751786
,134.664,,575.642,,21.37947386,20.43084482
,2524.69,,11373.5,,18.19708249,17.19149068
,496.394,,1916.49,,19.96303633,19.12495961
,-1.92788,,1108.79,,18,19.71910276
,4271.05,,19213.8,,17.626266,16.62219284
,452.085,,1846.14,,20.0645524,19.16556443
,672.419,,2504.01,,19.6335027,18.83463586
,672.322,,2486.23,,19.63365933,18.84237275
